127.9392105,532.4521511,1437.757582
90.47093365,437.9698403,1161.853476
137.3756235,639.1912295,1177.009174
82.51657448,358.2871117,960.7843463
227.7476737,728.8104485,995.5986904
139.164455,365.3569489,907.7489967
347.3507254,750.9481503,938.0825203
133.7809588,475.0551446,721.9051621
152.5331371,642.0878123,755.7559935
252.4196236,292.4127281,346.7828133
335.1795601,683.3963861,557.6225828
102.2623956,150.0275303,53.48357109
319.98548,709.1932834,150.3344603
277.3750822,80.75820461,-14.9527027
453.3630292,714.030823,151.3313268
