2.817806509518877078e+02,-1.600303370531071323e+01,1.629027203179794697e+03,9.546361843730629460e+01,-1.887085876108034199e+02,1.362490435161885898e+03,2.909090017768016878e+02,1.556965573174095709e+02,1.377177324318324736e+03,3.774661738786841880e+01,-3.022346651562075976e+02,1.141124042083860104e+03,4.485362216777911613e+02,2.094731051152375016e+02,1.173363114778653198e+03,2.793793545514093353e+02,-2.256324870872504675e+02,1.194243804584661120e+03,3.977138682044696338e+02,1.437782661704058462e+01,1.266319911237705810e+03,5.299390747373920618e+01,-4.796607528462190828e+01,9.777969866600158184e+02,1.986715997183058562e+02,1.377596325350700113e+02,1.067805284487992139e+03,8.773056688242036216e+01,-5.203201168229035289e+01,4.834315018509979609e+02,4.628112769049498638e+02,1.809433183469108997e+01,1.103827890989868820e+03,2.294018841583350454e+00,2.967747065219309732e+01,-1.442915746281159883e+01,2.793586726429481359e+02,4.806884719542167339e+00,6.534572925057225348e+02,2.772321001423071039e+02,-3.733381222201229832e+01,-4.284574078259527852e+01,4.664283110066929225e+02,-1.132304979315126019e+02,6.678017724638455093e+02
2.821918043183651434e+02,-1.694543271018250152e+01,1.635135144911672569e+03,9.330417734724832712e+01,-1.891262500769516066e+02,1.365850833474303499e+03,2.926666068593670502e+02,1.531542979081009719e+02,1.380480731470457386e+03,2.098588840509959752e+01,-3.011956685629841104e+02,1.135437914202032971e+03,4.549513524640437367e+02,2.159305418631867042e+02,1.173357741317037380e+03,2.699348081521809490e+02,-2.387648122633401044e+02,1.186105600448697032e+03,4.019279923838697073e+02,1.450525446809391283e+01,1.258506754413071349e+03,5.259145336309252627e+01,-5.116037843623428927e+01,9.793301366649693591e+02,1.994882325779448422e+02,1.363514886138534337e+02,1.068641777635958761e+03,9.086912029683274739e+01,-5.201993789347637431e+01,4.833552693128505666e+02,4.652489174716113780e+02,9.949275668533530848e+00,1.100668575201138992e+03,2.499816890615256693e+00,3.075769015100338066e+01,-1.479365171430946546e+01,2.678665725105640263e+02,-2.922885525933065221e-02,6.560337172862942907e+02,2.798333191059809337e+02,-3.556038924064927897e+01,-4.244525354206862033e+01,4.543157326341738553e+02,-1.099666446607624408e+02,6.680658046251365931e+02
2.836745129498849565e+02,-1.780840755353726124e+01,1.639681892632752579e+03,9.206545158817878871e+01,-1.893177545196403173e+02,1.367998983184516419e+03,2.951329042869118098e+02,1.513375214730693301e+02,1.382727045809123410e+03,4.202960290402222299e+00,-2.992269276770762758e+02,1.129818799477094217e+03,4.616984422471410312e+02,2.220050284144450643e+02,1.173079215815873113e+03,2.598801951003765112e+02,-2.499435657587833930e+02,1.175974278321663405e+03,4.056682821248635378e+02,1.474876589734176413e+01,1.250135120631551217e+03,5.218184184871394393e+01,-5.293615161494864907e+01,9.807747825629293175e+02,2.003179058005346747e+02,1.363677515818372399e+02,1.069534430853527056e+03,9.365163680577390437e+01,-5.095878445693858083e+01,4.834487811902773160e+02,4.673129495697792208e+02,4.890935932435023226e+00,1.097523742059976939e+03,3.260275222004811013e+00,3.227319909386905294e+01,-1.501670401544757816e+01,2.551044984397221356e+02,-8.813140124405918208e-01,6.576925380350494379e+02,2.817058019554163479e+02,-3.380943690339405805e+01,-4.196656697595071250e+01,4.409663096276879628e+02,-1.045831637536636407e+02,6.652995942100519642e+02
2.868364132690782640e+02,-1.851765097092472345e+01,1.641778854216850732e+03,9.232664698890658883e+01,-1.891018318470000565e+02,1.368379549717963073e+03,2.987692755173234218e+02,1.507035613875116269e+02,1.383274778309556041e+03,-1.246451383629501208e+01,-2.956374057370977653e+02,1.124573792631411152e+03,4.689662037862411239e+02,2.273546457046053604e+02,1.172294023180538261e+03,2.486141382878283252e+02,-2.576691514547795236e+02,1.162828169008061650e+03,4.086130081952982778e+02,1.532330695551091182e+01,1.240836400391869802e+03,5.170484961192778428e+01,-5.254610084245817347e+01,9.819993318706179934e+02,2.011350300544609127e+02,1.385874598401582318e+02,1.070374758874711688e+03,9.582615523432812665e+01,-4.844553465604413844e+01,4.837740353866183796e+02,4.688226101553747753e+02,4.488855062037836241e+00,1.093939385257210006e+03,4.776490019876312942e+00,3.429320790838153954e+01,-1.498275359126431816e+01,2.402720868565729972e+02,4.444043187178151832e+00,6.577700274916060152e+02,2.824419526192450007e+02,-3.220739855388431749e+01,-4.136195470953997244e+01,4.256139702027886642e+02,-9.575851039699782064e+01,6.575353899076221751e+02
2.915686098364137706e+02,-1.898416739551347732e+01,1.641559326980491278e+03,9.412086097893096337e+01,-1.883624990632582694e+02,1.367381773086882276e+03,3.036269903712969267e+02,1.513522674942896913e+02,1.382138401864719754e+03,-2.874495059732640456e+01,-2.902056771820838321e+02,1.120297296093204750e+03,4.767106228417563329e+02,2.317887375493554032e+02,1.170895002331129717e+03,2.355723773006727413e+02,-2.612441712245451981e+02,1.147058181328175579e+03,4.106678523534347960e+02,1.654993433725489993e+01,1.230594692885243148e+03,5.105674313265716791e+01,-5.023276893432961998e+01,9.828505048317757655e+02,2.018706578038969610e+02,1.428196500986515218e+02,1.070874247348916924e+03,9.730384106440646974e+01,-4.493566368236286479e+01,4.842300893612027721e+02,4.699052267518478061e+02,8.158691032388748710e+00,1.088973328613314834e+03,6.783062521876854767e+00,3.643097293418780680e+01,-1.464291174075187385e+01,2.233167866361198435e+02,1.549984178980711746e+01,6.560937975339458035e+02,2.821054875726617297e+02,-3.099963008235505058e+01,-4.063379285885297776e+01,4.082351455932541739e+02,-8.348882614151882819e+01,6.445386233600409014e+02
2.972145295526866562e+02,-1.906495512422673855e+01,1.639920316730976083e+03,9.701988905838189226e+01,-1.870161257066697829e+02,1.366031200474981233e+03,3.094233675185416246e+02,1.531323862807329306e+02,1.379823950950654307e+03,-4.436329866012434309e+01,-2.832245790757606301e+02,1.117635831411584604e+03,4.847277121267039774e+02,2.353578447357367338e+02,1.168885878365945246e+03,2.202308952871424026e+02,-2.608507128528069074e+02,1.130002094202566241e+03,4.119243898259216508e+02,1.878952524220065001e+01,1.219616630975196813e+03,5.012852300878313372e+01,-4.699679751874788280e+01,9.832007319840254240e+02,2.024219239409165141e+02,1.481050337574517357e+02,1.070640426558709805e+03,9.814937687103774522e+01,-4.139880448164857540e+01,4.845805402270013360e+02,4.708753667683612321e+02,1.380341155478191340e+01,1.081370499740506375e+03,8.728341173001359365e+00,3.808296454206988813e+01,-1.405869254600766283e+01,2.048242420584685703e+02,2.977800190381924139e+01,6.528069374130135429e+02,2.811421714154001847e+02,-3.043296802947748603e+01,-3.984060329261465938e+01,3.894328350017789262e+02,-6.898595518918600078e+01,6.274906306933775113e+02
3.029937795923158319e+02,-1.855251838360689121e+01,1.637912172802658688e+03,1.004130565247162110e+02,-1.849839769614727629e+02,1.365334854298681648e+03,3.157416076576516843e+02,1.557966459523752292e+02,1.376934362053847963e+03,-5.913127552281963517e+01,-2.753389316329605663e+02,1.116922028573571424e+03,4.927845332572807138e+02,2.383021179014894813e+02,1.166292255196779251e+03,2.022602517750598849e+02,-2.573308409871938238e+02,1.112979047246788923e+03,4.125453065026212585e+02,2.228905300805284995e+01,1.208072369681851114e+03,4.886761109671082437e+01,-4.402067410801282676e+01,9.829916040753780635e+02,2.026826362291274393e+02,1.532395382482829689e+02,1.069302999388056151e+03,9.851074574812525952e+01,-3.870697443093591517e+01,4.845438051386426537e+02,4.720000787383254988e+02,1.916175670498378025e+01,1.069950886897993541e+03,1.009701300826571391e+01,3.881328207627094429e+01,-1.339442628757860199e+01,1.857454279010513574e+02,4.415613729466434023e+01,6.480363139175159404e+02,2.801183116550824934e+02,-3.059970299459797616e+01,-3.907849802027014618e+01,3.701264793259460362e+02,-5.410463329580350234e+01,6.081308057675262262e+02
3.084294178219239484e+02,-1.722698577613143911e+01,1.636151847099717088e+03,1.038256097447879256e+02,-1.822095544151159174e+02,1.365694381478833520e+03,3.222277229525701046e+02,1.590653641910496106e+02,1.373793611369607561e+03,-7.288296169014404313e+01,-2.672351205725511818e+02,1.117907156660824967e+03,5.007163446522454251e+02,2.408492195702538936e+02,1.163045642833747252e+03,1.818364546281183891e+02,-2.517740756884139444e+02,1.096452676018008333e+03,4.126582237148701324e+02,2.702748926806274810e+01,1.195892858877597746e+03,4.732302188414724498e+01,-4.210289303106927150e+01,9.822451875471765561e+02,2.025787190867114020e+02,1.572965574129242441e+02,1.066614674782911152e+03,9.851713904405508515e+01,-3.718847617533226213e+01,4.839089631353988921e+02,4.732885143272063146e+02,2.296217206315496995e+01,1.054021856065023940e+03,1.065011302270040794e+01,3.860849630999104676e+01,-1.283816198462035096e+01,1.671206798123712929e+02,5.629990546978222454e+01,6.416408104325612385e+02,2.794384000518141420e+02,-3.136778128245304487e+01,-3.844045453345005825e+01,3.512293694547893210e+02,-4.060325903367941436e+01,5.879031146343191949e+02
3.135647278619930489e+02,-1.496568286955682225e+01,1.634554661460577563e+03,1.071279503258896426e+02,-1.787150694702007456e+02,1.366713572374775595e+03,3.287003305208414758e+02,1.625924244709535742e+02,1.370292334824739783e+03,-8.531702701934209188e+01,-2.593563894794630187e+02,1.119762658521149660e+03,5.084558556710352946e+02,2.430218153111429160e+02,1.158931011747793718e+03,1.598931226662203926e+02,-2.451292949686435918e+02,1.079807951314943921e+03,4.123259461658370242e+02,3.268721316813532951e+01,1.182770066363961405e+03,4.563494241718799316e+01,-4.138350929544388634e+01,9.810491255770767793e+02,2.020869348469404940e+02,1.599111903561356485e+02,1.062497495806951747e+03,9.818774759606570512e+01,-3.660046393134470577e+01,4.826368639093154229e+02,4.744068866839044745e+02,2.526519842721248921e+01,1.033619189742463277e+03,1.045479639035454866e+01,3.784507519028669975e+01,-1.249482411351863753e+01,1.498298052383134120e+02,6.533880060535909706e+01,6.331736218133829652e+02,2.791869142742916665e+02,-3.245675285439982360e+01,-3.797181896689857439e+01,3.334091824014652730e+02,-2.956826448607463931e+01,5.674830985258026885e+02
3.188912148170205683e+02,-1.186672859160280069e+01,1.632457532333566860e+03,1.105544368861129669e+02,-1.746564518126384087e+02,1.367452781954569218e+03,3.351595097440905420e+02,1.659359350968724129e+02,1.366002503817763454e+03,-9.592074832346405344e+01,-2.518187784785901897e+02,1.121367252482656568e+03,5.160181918524442608e+02,2.446326133924447106e+02,1.153663699433362353e+03,1.380371880311824100e+02,-2.380345335348959850e+02,1.061814908581086229e+03,4.116013928795089782e+02,3.880466690399793350e+01,1.168361581428301406e+03,4.396021908585583304e+01,-4.142396421564140496e+01,9.795347337531508174e+02,2.012271789933166133e+02,1.612852783515164106e+02,1.057049366207050525e+03,9.740081875599251759e+01,-3.644640016066634303e+01,4.809080273176593892e+02,4.747462903349386352e+02,2.700631040202923927e+01,1.009464851699862606e+03,9.742341935205660164e+00,3.702152001193940833e+01,-1.232791496204486670e+01,1.343589755629133435e+02,7.170236975762526299e+01,6.220278898436486088e+02,2.791572382391134965e+02,-3.360370860223211054e+01,-3.764746075973263828e+01,3.169676777329055426e+02,-2.119357524512757962e+01,5.467462936178110340e+02
